,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8
0,MT-ND4,PPP1R15A,MT2A,PCLAF,UBE2C,FABP5,LCN2,SPRR3
1,NEAT1,FOSB,CAV1,RRM2,TOP2A,SERPINB3,MUC20,S100A8
2,MALAT1,ATF3,COL17A1,TYMS,AURKB,KRT6B,C15orf48,S100A9
3,MT-ATP6,HSPA1B,DST,ASF1B,CENPF,S100A8,MUC1,SPRR1B
4,MT-CO3,JUN,IGFBP7,MYBL2,BIRC5,KRT16,MUC4,RHCG
5,MT-CYB,EGR1,MT1E,TK1,DLGAP5,KRT13,CEACAM6,LCN2
6,MT-CO1,ZFP36,TPM2,ZWINT,CCNB2,SPRR1B,PRSS22,PRSS27
7,MT-ND2,FOS,LAMB3,STMN1,ASPM,LGALS7B,PSCA,SPRR2D
8,MT-CO2,DNAJB1,CD81,UBE2T,CENPA,KRT6A,CTSS,SPRR2A
9,MT-ND5,ZFAND2A,LGALS1,FAM111B,CDC20,CALML3,CEACAM5,SCEL
10,MT-ND1,HSPA1A,FST,CENPM,CDCA3,S100A11,DUOX2,IL1RN
11,MT-ND3,NR4A1,IFITM3,CLSPN,CCNB1,KRT14,DUOXA2,NCCRP1
12,MT-ND4L,IER5,CTNNAL1,NUSAP1,CDKN3,LAD1,IDO1,A2ML1
13,VMP1,IER3,SERPINH1,CDK1,NUF2,S100A9,PDZK1IP1,PRSS22
14,XIST,RHOB,BEX3,DHFR,TPX2,SERPINB4,SECTM1,CEACAM5
15,MTRNR2L12,DUSP1,KRT8,PKMYT1,MKI67,LY6D,EPS8L1,CSTB
16,MT-ATP8,SERTAD1,CD320,TUBB,NUSAP1,S100A16,CEACAM7,MUC21
17,FUS,IER2,RAB32,CCNE2,HMMR,DBI,CEACAM1,CD24
18,CCNL1,NRARP,TGFBI,PCNA,KIF2C,CSTA,CFB,EPS8L1
19,PLCG2,JUND,PDLIM1,HMGB2,KIF23,CSTB,WFDC2,TMPRSS11E
20,SLC38A2,CCNL1,LAMA3,DTL,DEPDC1,SFN,MUC16,SDCBP2
21,HNRNPU,HSPH1,PDPN,ESCO2,PLK1,DEFB1,SAA2,ECM1
22,DDX3X,HSPA6,TIMP1,DUT,CEP55,KRT6C,B2M,CLIC3
23,SYNE2,DEDD2,ITGA6,TUBA1B,GTSE1,CALML5,HLA-DRB1,SLPI
24,SRRM2,DNAJA1,PRDX4,TMEM106C,NEK2,PKP1,BIRC3,TTC9
25,JUN,MAFF,EFEMP1,HELLS,CDK1,CASP14,PLAAT4,PI3
26,MTRNR2L8,CLDN4,TP63,ATAD2,CCNA2,RBP1,PLAT,TMPRSS2
27,RBM39,BAG3,BASP1,CDC6,PTTG1,KRT5,PRSS8,ANXA1
28,TRA2B,JUNB,RAMP1,FEN1,CENPE,S100A14,KLK10,NECTIN4
29,MCL1,SOCS3,TSPAN4,RAD51AP1,PRC1,S100A2,SMIM5,KRT13
